Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24049,Montarville,37060,2513752000 ,1860 ,1640 ,1860 ,1860 ,1650 ,1530 ,1590 ,1850 ,1890 ,1840 ,1750 ,1750 ,2930 ,2880 ,2130 ,1710 ,4100 ,1480 ,760 ,
24,24050,Montcalm,42200,1924114000 ,2020 ,2260 ,2780 ,3340 ,2890 ,2570 ,2680 ,2920 ,2800 ,2470 ,2310 ,2000 ,3350 ,2650 ,1680 ,1080 ,1840 ,420 ,150 ,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,39940,1644235000 ,1470 ,1970 ,2910 ,4340 ,3150 ,2950 ,3110 ,3180 ,3140 ,2800 ,2320 ,1740 ,2320 ,1540 ,910 ,540 ,1020 ,360 ,180 ,
24,24052,Mount Royal,36420,2905865000 ,4400 ,2670 ,3260 ,3160 ,2410 ,2140 ,1870 ,1600 ,1350 ,1210 ,1040 ,900 ,1450 ,1220 ,960 ,720 ,2310 ,1760 ,1980 ,
24,24053,Notre-Dame-de-Grâce--Westmount,37150,3790499000 ,4340 ,2800 ,2970 ,2820 ,2030 ,1770 ,1630 ,1510 ,1440 ,1280 ,1080 ,990 ,1610 ,1480 ,1160 ,900 ,2790 ,2090 ,2450 ,
24,24054,Outremont,35210,2208833000 ,4950 ,3120 ,3280 ,3050 ,2180 ,1870 ,1720 ,1500 ,1350 ,1150 ,970 ,900 ,1520 ,1330 ,1020 ,780 ,2160 ,1200 ,1160 ,
24,24055,Papineau,42410,1402032000 ,4030 ,4520 ,4930 ,4990 ,3640 ,2970 ,2640 ,2390 ,2050 ,1610 ,1380 ,1120 ,1810 ,1350 ,910 ,550 ,1110 ,310 ,110 ,
24,24056,Pierrefonds--Dollard,40780,2250226000 ,3660 ,2590 ,3400 ,3030 ,2610 ,2270 ,2110 ,2210 ,2110 ,1890 ,1570 ,1520 ,2390 ,1880 ,1480 ,1170 ,2860 ,1270 ,750 ,
24,24057,Pontiac,43410,2238226000 ,2750 ,2530 ,3060 ,3470 ,2530 ,2080 ,2190 ,2220 ,2290 ,2030 ,1960 ,1850 ,3360 ,2710 ,2160 ,1600 ,3430 ,940 ,270 ,
24,24058,Portneuf--Jacques-Cartier,45620,2590134000 ,1710 ,1900 ,2320 ,3050 ,2550 ,2290 ,2560 ,2820 ,2970 ,2750 ,2550 ,2260 ,4400 ,3260 ,2140 ,1430 ,2990 ,1070 ,570 ,
24,24059,Québec,37920,1759612000 ,1940 ,2640 ,3330 ,3490 ,2670 ,2380 ,2490 ,2450 ,2270 ,2030 ,1840 ,1650 ,2450 ,1850 ,1210 ,760 ,1550 ,590 ,340 ,
24,24060,Repentigny,45050,2384831000 ,2230 ,2000 ,2580 ,2870 ,2750 ,2450 ,2560 ,2720 ,2760 ,2630 ,2430 ,2260 ,3860 ,3150 ,2210 ,1530 ,2780 ,890 ,370 ,
24,24061,Richmond--Arthabaska,43330,1847173000 ,1820 ,2500 ,3210 ,4500 ,3620 ,3190 ,3040 ,3250 ,3040 ,2530 ,2180 ,1870 ,2650 ,1930 ,1240 ,810 ,1260 ,460 ,240 ,
24,24062,Rivière-des-Mille-Îles,40320,2228461000 ,2100 ,2130 ,2610 ,2700 ,2360 ,2110 ,2170 ,2360 ,2410 ,2180 ,1970 ,1830 ,3120 ,2610 ,1990 ,1340 ,2810 ,1050 ,480 ,
24,24063,Rivière-du-Nord,43510,1970772000 ,1910 ,2740 ,3240 ,3830 ,3190 ,2730 ,2770 ,2990 ,2800 ,2390 ,2280 ,1870 ,3050 ,2350 ,1640 ,1100 ,1870 ,560 ,220 ,
24,24064,Rosemont--La Petite-Patrie,40780,1810973000 ,2760 ,3330 ,3880 ,3730 ,2730 ,2420 ,2310 ,2470 ,2170 ,1860 ,1670 ,1420 ,2440 ,1940 ,1500 ,1070 ,2090 ,680 ,280 ,
24,24065,Marc-Aurèle-Fortin,37850,2052025000 ,2460 ,1940 ,2460 ,2400 ,2060 ,1910 ,2050 ,2210 ,2160 ,1980 ,1860 ,1680 ,2890 ,2500 ,1860 ,1350 ,2800 ,900 ,390 ,
24,24066,Saint-Hyacinthe--Bagot,40290,1753714000 ,1760 ,2420 ,2980 ,3730 ,3090 ,2820 ,2850 ,3040 ,3140 ,2540 ,2150 ,1720 ,2570 ,1800 ,1090 ,690 ,1250 ,410 ,240 ,
24,24067,Saint-Jean,43400,2092696000 ,1960 ,2340 ,2900 ,3420 ,3010 ,2620 ,2710 ,3060 ,2790 ,2540 ,2340 ,2060 ,3300 ,2590 ,1690 ,1150 ,2050 ,620 ,260 ,
24,24068,Saint-Laurent,35980,1765982000 ,4120 ,2810 ,3520 ,3320 ,2560 ,2140 ,1990 ,1820 ,1560 ,1310 ,1190 ,1000 ,1700 ,1350 ,1080 ,830 ,2090 ,970 ,620 ,
24,24069,Saint-Léonard--Saint-Michel,40290,1388519000 ,3820 ,3480 ,4210 ,4220 ,3810 ,3290 ,2820 ,2680 ,2300 ,1710 ,1420 ,1160 ,1670 ,1080 ,720 ,490 ,890 ,370 ,160 ,
24,24070,Saint-Maurice--Champlain,45920,1879665000 ,2460 ,3000 ,3560 ,4810 ,3480 ,3160 ,3200 ,3330 ,3280 ,2750 ,2340 ,1830 ,2520 ,1970 ,1260 ,870 ,1500 ,440 ,180 ,
24,24071,Salaberry--Suroît,45420,1995487000 ,2430 ,2800 ,3290 ,3970 ,3330 ,2970 ,3270 ,3130 ,2990 ,2600 ,2270 ,1950 ,2950 ,2380 ,1650 ,1000 ,1800 ,440 ,220 ,
