Summary Statistics of TFSA by Federal Electoral Districts,,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,
35,35086,Renfrew--Nipissing--Pembroke,33550,547827000 ,21330 ,168734000 ,9920 ,55942000 ,,,,,,,,,,,,,,,,
35,35087,Richmond Hill,50360,867156000 ,31490 ,285686000 ,12050 ,93954000 ,,,,,,,,,,,,,,,,
35,35088,Carleton,35140,577567000 ,22070 ,188604000 ,9710 ,65101000 ,,,,,,,,,,,,,,,,
35,35089,St. Catharines,37340,632767000 ,23700 ,184772000 ,11520 ,64084000 ,,,,,,,,,,,,,,,,
35,35090,Toronto--St. Paul's,47690,891234000 ,31570 ,281621000 ,12980 ,88017000 ,,,,,,,,,,,,,,,,
35,35091,Sarnia--Lambton,39410,734900000 ,25420 ,215134000 ,10940 ,68682000 ,,,,,,,,,,,,,,,,
35,35092,Sault Ste. Marie,25430,425808000 ,16260 ,122816000 ,7460 ,40999000 ,,,,,,,,,,,,,,,,
35,35093,Scarborough--Agincourt,49250,783547000 ,33350 ,262251000 ,13600 ,97502000 ,,,,,,,,,,,,,,,,
35,35094,Scarborough Centre,42390,487149000 ,29430 ,179966000 ,15290 ,76273000 ,,,,,,,,,,,,,,,,
35,35095,Scarborough--Guildwood,36660,421320000 ,25020 ,154429000 ,13140 ,65852000 ,,,,,,,,,,,,,,,,
35,35096,Scarborough North,44790,608579000 ,30290 ,214069000 ,12880 ,85457000 ,,,,,,,,,,,,,,,,
