Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24041,Longueuil--Charles-LeMoyne,43730,1305848000 ,4070 ,3860 ,5020 ,5620 ,4360 ,3260 ,3040 ,3030 ,2590 ,1940 ,1480 ,1130 ,1610 ,1110 ,610 ,370 ,490 ,120 ,40 ,
24,24042,Lévis--Lotbinière,44630,1699923000 ,2500 ,2820 ,3880 ,4430 ,3590 ,3270 ,3170 ,3430 ,3370 ,2760 ,2120 ,1700 ,2600 ,1960 ,1070 ,600 ,1000 ,270 ,80 ,
24,24043,Longueuil--Saint-Hubert,46340,1696704000 ,3740 ,3390 ,4500 ,5360 ,4180 ,3180 ,2880 ,3040 ,2870 ,2260 ,1880 ,1500 ,2310 ,1780 ,1010 ,660 ,1270 ,360 ,160 ,
24,24044,Louis-Hébert,45650,2114230000 ,3310 ,2700 ,3300 ,3810 ,3310 ,2690 ,2630 ,2990 ,3270 ,2500 ,2150 ,1850 ,2830 ,2460 ,1550 ,970 ,2130 ,820 ,400 ,
24,24045,Louis-Saint-Laurent,48410,1878412000 ,2890 ,2620 ,3790 ,4630 ,4050 ,3380 ,3610 ,3790 ,3740 ,3130 ,2420 ,1970 ,2860 ,2160 ,1240 ,660 ,1100 ,280 ,110 ,
24,24046,Manicouagan,36920,1143588000 ,4920 ,2840 ,3820 ,4610 ,3370 ,2530 ,2320 ,2200 ,2000 ,1590 ,1160 ,940 ,1310 ,1040 ,860 ,490 ,720 ,150 ,50 ,
24,24047,Mégantic--L'Érable,36190,1020144000 ,2470 ,3060 ,5010 ,5710 ,4260 ,3050 ,2630 ,2290 ,1950 ,1360 ,950 ,780 ,990 ,730 ,350 ,180 ,280 ,100 ,50 ,
24,24048,Mirabel,44530,1524345000 ,3700 ,3140 ,4270 ,4830 ,3970 ,3360 ,3230 ,3190 ,2960 ,2300 ,1800 ,1460 ,2230 ,1770 ,840 ,510 ,740 ,170 ,60 ,
24,24049,Montarville,40080,1792403000 ,2750 ,2250 ,2960 ,3380 ,2990 ,2460 ,2390 ,2570 ,2640 ,2230 ,1870 ,1640 ,2690 ,2400 ,1470 ,940 ,1740 ,490 ,220 ,
24,24050,Montcalm,41820,1292375000 ,3810 ,3440 ,4580 ,5260 ,4070 ,3240 ,2920 ,2820 ,2580 ,1840 ,1460 ,1160 ,1660 ,1320 ,610 ,370 ,520 ,140 ,40 ,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,40740,1196063000 ,2890 ,3320 ,5010 ,6490 ,4240 ,3360 ,3050 ,2740 ,2420 ,1670 ,1250 ,880 ,1250 ,1010 ,440 ,230 ,340 ,120 ,60 ,
24,24052,Mount Royal,42990,1911544000 ,5990 ,3420 ,4160 ,4820 ,3880 ,2700 ,2070 ,1850 ,1690 ,1480 ,1180 ,1090 ,1630 ,1550 ,1020 ,720 ,1880 ,1080 ,790 ,
24,24053,Notre-Dame-de-Grâce--Westmount,43560,2390651000 ,6210 ,3270 ,3710 ,4030 ,2870 ,2220 ,1990 ,1980 ,1930 ,1610 ,1380 ,1220 ,1950 ,1910 ,1370 ,960 ,2480 ,1460 ,1030 ,
24,24054,Outremont,38770,1612491000 ,6200 ,3370 ,3730 ,4030 ,2830 ,2120 ,1800 ,1660 ,1660 ,1360 ,1120 ,1100 ,1710 ,1470 ,940 ,670 ,1660 ,800 ,560 ,
24,24055,Papineau,42910,1201074000 ,5870 ,4630 ,5360 ,6050 ,3810 ,2650 ,2310 ,2120 ,1820 ,1520 ,1250 ,1070 ,1530 ,1120 ,610 ,370 ,590 ,190 ,60 ,
24,24056,Pierrefonds--Dollard,44780,1634276000 ,5560 ,3370 ,4230 ,4590 ,3650 ,2950 ,2630 ,2670 ,2420 ,1950 ,1610 ,1400 ,2200 ,1740 ,1080 ,700 ,1350 ,480 ,210 ,
24,24057,Pontiac,44060,1832412000 ,3770 ,3220 ,4110 ,4140 ,2870 ,2250 ,2270 ,2230 ,2330 ,2050 ,1800 ,1880 ,3170 ,2520 ,1830 ,1240 ,1880 ,410 ,90 ,
24,24058,Portneuf--Jacques-Cartier,44620,1714450000 ,2880 ,2880 ,4070 ,4770 ,3690 ,3160 ,3100 ,3180 ,3040 ,2520 ,1950 ,1520 ,2560 ,1860 ,1150 ,680 ,1130 ,350 ,150 ,
24,24059,Québec,41190,1519381000 ,2380 ,2760 ,3920 ,5430 ,3750 ,3020 ,2850 ,2840 ,2740 ,2090 ,1720 ,1380 ,1960 ,1490 ,890 ,490 ,990 ,360 ,140 ,
24,24060,Repentigny,48650,1768452000 ,3580 ,3200 ,4460 ,5090 ,4410 ,3490 ,3390 ,3490 ,3340 ,2620 ,2220 ,1750 ,2420 ,2040 ,1120 ,620 ,1020 ,290 ,100 ,
