Summary Statistics of CCB Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of CCB Recipients,,1 Child,,2 Children,,3 Children,,4 Children,,5 or more Children,,Previously Dependent Children,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,
35,35008,Brampton Centre,13180,96509000 ,5840 ,25263000 ,4750 ,39541000 ,1530 ,21207000 ,330 ,6564000 ,90 ,2427000 ,630 ,1507000 ,,,,,,,,
35,35009,Brampton East,18490,129702000 ,6970 ,28324000 ,7950 ,61036000 ,2330 ,29160000 ,410 ,7641000 ,70 ,2033000 ,750 ,1507000 ,,,,,,,,
35,35010,Brampton North,15800,108476000 ,6540 ,26881000 ,6410 ,49870000 ,1770 ,22041000 ,350 ,6512000 ,70 ,1937000 ,660 ,1235000 ,,,,,,,,
35,35011,Brampton South,15150,105452000 ,6580 ,27655000 ,5970 ,47792000 ,1580 ,20732000 ,320 ,5855000 ,70 ,2005000 ,640 ,1414000 ,,,,,,,,
35,35012,Brampton West,20380,133634000 ,8250 ,31715000 ,8420 ,61328000 ,2390 ,28120000 ,460 ,8198000 ,100 ,2594000 ,770 ,1678000 ,,,,,,,,
35,35013,Brantford--Brant,14950,103529000 ,6050 ,25227000 ,5620 ,40631000 ,1810 ,21435000 ,550 ,9838000 ,170 ,4504000 ,750 ,1894000 ,,,,,,,,
35,35014,Bruce--Grey--Owen Sound,9580,68312000 ,3770 ,15418000 ,3500 ,25713000 ,1250 ,15029000 ,370 ,6285000 ,170 ,4622000 ,530 ,1244000 ,,,,,,,,
35,35015,Burlington,10400,55658000 ,4370 ,14939000 ,4260 ,25634000 ,1030 ,10024000 ,210 ,3113000 ,40 ,1000000 ,500 ,949000 ,,,,,,,,
35,35016,Cambridge,12980,82874000 ,5300 ,20622000 ,5010 ,33893000 ,1580 ,17646000 ,370 ,6309000 ,110 ,3086000 ,600 ,1317000 ,,,,,,,,
35,35017,Chatham-Kent--Leamington,11730,89649000 ,4440 ,18450000 ,4140 ,30993000 ,1630 ,19748000 ,560 ,9818000 ,310 ,8959000 ,650 ,1681000 ,,,,,,,,
