Summary Statistics of GST/HST Credit Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of GST/HST Credit Recipients,,No Children,,1 Child,,2 Children,,3 or more Children,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,,,,,
24,24078,Vimy,43040,17746000 ,38460 ,14301000 ,1880 ,1244000 ,1700 ,1266000 ,1010 ,935000 ,,,,,,,,,,,,
TOTAL,,,2691520,1079584000 ,2462890 ,910732000 ,108910 ,72421000 ,72900 ,53981000 ,46820 ,42450000 ,,,,,,,,,,,,
35,35001,Ajax,32210,13405000 ,28430 ,10473000 ,1700 ,1185000 ,1190 ,911000 ,890 ,837000 ,,,,,,,,,,,,
35,35002,Algoma--Manitoulin--Kapuskasing,25700,10876000 ,23350 ,9001000 ,1210 ,872000 ,680 ,553000 ,460 ,450000 ,,,,,,,,,,,,
35,35003,Aurora--Oak Ridges--Richmond Hill,30550,12572000 ,27200 ,10090000 ,1720 ,1167000 ,1220 ,951000 ,400 ,365000 ,,,,,,,,,,,,
35,35004,Barrie--Innisfil,27590,11377000 ,24840 ,9244000 ,1410 ,1001000 ,870 ,678000 ,480 ,454000 ,,,,,,,,,,,,
35,35005,Barrie--Springwater--Oro-Medonte,28680,11762000 ,26350 ,9981000 ,1260 ,900000 ,700 ,543000 ,370 ,338000 ,,,,,,,,,,,,
35,35006,Bay of Quinte,33600,14017000 ,30580 ,11695000 ,1560 ,1115000 ,870 ,661000 ,580 ,545000 ,,,,,,,,,,,,
35,35007,Beaches--East York,31990,13369000 ,28850 ,10924000 ,1540 ,1087000 ,1040 ,822000 ,550 ,535000 ,,,,,,,,,,,,
35,35008,Brampton Centre,33630,14541000 ,28910 ,10891000 ,2110 ,1487000 ,1700 ,1318000 ,910 ,846000 ,,,,,,,,,,,,
35,35009,Brampton East,39400,17459000 ,32590 ,12372000 ,2520 ,1688000 ,2980 ,2219000 ,1310 ,1180000 ,,,,,,,,,,,,
35,35010,Brampton North,36910,15821000 ,31480 ,11765000 ,2260 ,1536000 ,2220 ,1657000 ,950 ,864000 ,,,,,,,,,,,,
35,35011,Brampton South,41310,17577000 ,35900 ,13461000 ,2410 ,1676000 ,2130 ,1627000 ,870 ,812000 ,,,,,,,,,,,,
35,35012,Brampton West,36110,15792000 ,30000 ,11212000 ,2600 ,1764000 ,2400 ,1787000 ,1120 ,1029000 ,,,,,,,,,,,,
35,35013,Brantford--Brant,39710,16786000 ,35620 ,13576000 ,2000 ,1458000 ,1270 ,988000 ,820 ,763000 ,,,,,,,,,,,,
